                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1315,                 2.1803,                 1.6979,                 1.1413,                0.51424,                 0.4671,                0.53912,                0.36949,                0.48884,                0.44403,                0.50634,                0.28864,                 1.1077,                  2.327,                 1.8941,                 1.0796,             0.00065455,             0.00065455,             0.00065455
                      2,                 1.1132,                 1.9707,                 1.1121,                 1.1232,                0.77249,                0.74907,                0.78052,                0.54614,                0.76388,                0.72883,                 0.7528,                0.43312,                 1.0749,                 2.4299,                 1.3002,                 1.1391,              0.0013081,              0.0013081,              0.0013081
                      3,                 1.1156,                 1.9593,                 1.0969,                 1.1389,                0.78137,                0.62318,                0.70042,                0.49867,                0.73816,                0.58872,                0.62922,                0.33761,                 1.0698,                 2.5569,                 1.7347,                  1.122,              0.0019485,              0.0019485,              0.0019485
                      4,                 1.1146,                 1.9669,                 1.0282,                 1.1457,                0.81371,                0.79436,                0.83262,                0.57406,                0.80654,                0.77385,                0.80522,                0.46578,                 1.0734,                 2.2378,                 1.1628,                 1.1541,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0777,                  1.898,                0.95485,                 1.1278,                0.83758,                0.79757,                0.84472,                0.59608,                 0.8044,                0.76135,                0.78076,                0.46404,                 1.0542,                 2.2419,                 1.0263,                 1.1254,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.0531,                  1.841,                0.98045,                 1.1328,                0.81995,                0.81088,                0.84799,                0.59976,                0.82377,                0.79692,                0.83436,                0.50963,                 1.0619,                  2.214,                0.96509,                 1.1637,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0416,                 1.7831,                0.90064,                  1.112,                0.82913,                0.77613,                0.82928,                0.58902,                0.80676,                0.77414,                0.80475,                0.48289,                 1.0958,                 2.1506,                 0.9484,                  1.157,               0.001901,               0.001901,               0.001901
                      8,                 1.0317,                 1.7952,                0.87747,                 1.1131,                0.82163,                0.83968,                0.86621,                0.61988,                0.81729,                0.83139,                0.85129,                0.52995,                 1.0272,                 2.0933,                0.85503,                 1.1276,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0308,                 1.7942,                0.89468,                 1.1136,                0.83266,                0.82621,                0.86155,                0.61802,                0.82389,                0.81681,                 0.8461,                0.52219,                 1.0317,                 1.9657,                0.84467,                 1.1213,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0088,                 1.7738,                0.84639,                 1.1018,                0.82376,                 0.8331,                0.86343,                 0.6188,                0.81049,                 0.8049,                0.82965,                0.49724,                 1.0192,                 2.0513,                0.83971,                 1.1045,              0.0018416,              0.0018416,              0.0018416
