                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1339,                 2.1577,                  1.666,                 1.1534,                0.76692,                0.73284,                0.77989,                0.55062,                0.74401,                0.71275,                0.73105,                0.40013,                 1.0985,                 2.3751,                 1.4391,                 1.0793,             0.00066055,             0.00066055,             0.00066055
                      2,                 1.1537,                 2.0231,                 1.3239,                 1.1661,                0.77232,                0.80867,                0.82717,                0.56118,                0.75686,                 0.7882,                 0.7989,                0.46459,                 1.1227,                 2.3752,                 1.6879,                 1.1697,              0.0013141,              0.0013141,              0.0013141
                      3,                 1.1542,                 2.0143,                 1.1887,                 1.1683,                0.81168,                  0.818,                0.85126,                0.59082,                0.80518,                0.79151,                0.81831,                 0.4849,                  1.098,                 2.2436,                 1.1358,                 1.1639,              0.0019544,              0.0019544,              0.0019544
                      4,                 1.1309,                 1.9784,                 1.0868,                  1.167,                0.83187,                0.81454,                0.84751,                0.57533,                 0.8252,                0.80946,                0.83493,                0.48387,                 1.1481,                 2.1734,                 1.1221,                 1.1659,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1002,                 1.9024,                 1.0004,                 1.1438,                0.82946,                0.82683,                0.87279,                0.60999,                0.81497,                0.79977,                0.83973,                0.51108,                 1.0618,                 2.0881,                 1.0153,                 1.1243,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.0935,                 1.9046,                 1.0229,                 1.1536,                   0.82,                0.83851,                0.86449,                0.62392,                0.81958,                0.81897,                0.83835,                0.50945,                 1.0294,                 2.0407,                0.92633,                 1.1107,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0879,                 1.8991,                0.94074,                 1.1458,                0.83669,                0.80946,                0.85583,                0.61956,                0.82581,                0.79394,                0.82985,                0.50076,                 1.0428,                 2.0733,                0.91512,                 1.1146,               0.001901,               0.001901,               0.001901
                      8,                 1.0525,                 1.8162,                 0.9052,                 1.1204,                0.83122,                0.82683,                0.86103,                0.60944,                0.82915,                0.81003,                 0.8406,                0.52042,                 1.0818,                 1.9471,                0.87624,                 1.1545,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0688,                 1.8427,                0.91932,                 1.1332,                0.83432,                0.84221,                 0.8719,                0.62371,                 0.8419,                0.82398,                0.85991,                0.53357,                 1.0276,                 1.9354,                0.88537,                 1.1223,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0272,                 1.7481,                0.84565,                 1.1097,                0.85173,                0.82952,                0.87463,                0.62258,                0.84864,                0.81919,                0.86675,                 0.5344,                 1.0738,                 2.0163,                0.84441,                 1.1109,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0223,                 1.7571,                0.84514,                 1.1173,                 0.8505,                0.85388,                0.89087,                0.65453,                0.84843,                0.84815,                0.87992,                0.55897,                 1.0107,                 1.9273,                0.78472,                 1.1121,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0286,                  1.786,                0.85012,                 1.1143,                0.83384,                0.84705,                0.87419,                0.62955,                0.83374,                0.82996,                0.85558,                0.53799,                0.99383,                 1.8932,                0.79924,                 1.1048,               0.001802,               0.001802,               0.001802
                     13,                 1.0014,                 1.7365,                0.82799,                 1.1133,                 0.8376,                0.84136,                0.87589,                0.64554,                0.83553,                 0.8311,                0.85665,                 0.5496,                0.98664,                 1.8224,                0.82132,                 1.0922,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0113,                 1.7431,                0.82623,                 1.1114,                0.84068,                0.84461,                0.87825,                0.63577,                 0.8381,                0.83253,                0.86415,                0.55487,                 1.0114,                  1.883,                0.81769,                 1.1161,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0234,                 1.7842,                0.82688,                 1.1236,                0.85073,                0.82512,                0.87543,                0.64289,                0.84907,                0.81073,                 0.8569,                0.53753,                0.98488,                 1.9209,                0.84042,                 1.1091,              0.0017426,              0.0017426,              0.0017426
                     16,                0.96935,                 1.7154,                0.79335,                  1.099,                0.85542,                0.83794,                0.88301,                0.65227,                0.84764,                0.83032,                0.86745,                0.56283,                0.95362,                 1.7569,                0.76763,                 1.0776,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0007,                  1.731,                0.79629,                 1.1054,                0.84881,                0.85047,                0.89132,                0.66138,                0.84098,                0.84335,                0.87481,                0.56054,                0.96935,                 1.8158,                0.76005,                 1.0917,               0.001703,               0.001703,               0.001703
                     18,                 0.9847,                 1.7202,                0.79372,                 1.1017,                 0.8515,                0.85414,                0.88697,                0.65127,                 0.8495,                0.84335,                0.87546,                0.55467,                0.96519,                 1.8729,                0.72641,                 1.0836,              0.0016832,              0.0016832,              0.0016832
                     19,                0.97474,                 1.6755,                0.77196,                 1.1013,                0.85406,                0.82939,                0.88115,                0.65152,                0.84914,                0.82243,                0.87319,                0.56682,                0.97298,                 1.8124,                0.76666,                 1.0993,              0.0016634,              0.0016634,              0.0016634
                     20,                0.96687,                 1.6498,                0.76531,                 1.0914,                0.83886,                0.86585,                0.88628,                0.64809,                 0.8361,                0.85869,                0.87524,                0.56682,                 0.9804,                 1.8454,                0.73235,                 1.1072,              0.0016436,              0.0016436,              0.0016436
                     21,                0.96272,                  1.653,                 0.7533,                 1.0884,                0.81743,                0.86158,                0.87667,                0.64588,                0.81361,                0.84449,                0.86444,                0.56785,                0.98221,                 1.7879,                0.76853,                 1.1233,              0.0016238,              0.0016238,              0.0016238
                     22,                0.98934,                 1.6972,                0.79147,                 1.1032,                0.84172,                 0.8391,                0.88617,                0.64905,                0.84578,                0.82341,                0.87364,                0.56663,                0.99978,                 1.8203,                0.78115,                  1.116,               0.001604,               0.001604,               0.001604
                     23,                0.94818,                 1.6456,                0.75936,                 1.0962,                0.86014,                0.84953,                  0.907,                0.68474,                0.86174,                0.84164,                0.89851,                0.60991,                0.93389,                 1.7412,                0.71741,                 1.0739,              0.0015842,              0.0015842,              0.0015842
                     24,                0.93044,                 1.6005,                0.72835,                 1.0732,                0.84795,                0.86882,                0.89434,                0.66629,                0.83934,                0.85855,                0.87492,                0.58767,                0.96264,                 1.7437,                0.70177,                 1.0823,              0.0015644,              0.0015644,              0.0015644
                     25,                0.97097,                 1.6496,                0.74949,                 1.0997,                0.86533,                0.84876,                0.90455,                0.67785,                 0.8494,                 0.8442,                0.88711,                0.58901,                0.94296,                 1.7646,                0.71318,                 1.0788,              0.0015446,              0.0015446,              0.0015446
                     26,                0.96631,                 1.6261,                0.74752,                 1.0916,                0.86584,                0.84001,                0.90663,                 0.6805,                0.85845,                0.83432,                0.89324,                0.59914,                0.96963,                 1.7343,                0.70155,                 1.0737,              0.0015248,              0.0015248,              0.0015248
                     27,                0.93401,                  1.588,                0.72857,                 1.0781,                0.85346,                0.84271,                  0.892,                0.66379,                 0.8482,                 0.8274,                0.87709,                0.58291,                  0.957,                 1.7688,                0.72756,                 1.0801,               0.001505,               0.001505,               0.001505
                     28,                0.93887,                 1.6039,                0.72273,                 1.0728,                0.87112,                0.85473,                0.90411,                0.68095,                0.86094,                0.84462,                 0.8855,                0.59325,                0.93293,                 1.7203,                0.68098,                 1.0761,              0.0014852,              0.0014852,              0.0014852
                     29,                0.93576,                   1.62,                0.69513,                 1.0743,                0.86032,                0.86158,                0.90593,                 0.6762,                0.85952,                0.84696,                0.89757,                0.59373,                0.94199,                 1.7123,                0.68726,                 1.0778,              0.0014654,              0.0014654,              0.0014654
                     30,                0.96731,                 1.6696,                0.73177,                 1.0939,                0.85362,                0.87363,                0.89782,                0.66429,                0.84308,                0.86357,                0.87911,                0.57453,                0.95788,                 1.7374,                0.68486,                  1.082,              0.0014456,              0.0014456,              0.0014456
                     31,                0.94625,                 1.5982,                0.70135,                 1.0833,                0.87811,                0.84193,                0.89774,                0.67847,                0.87717,                0.83196,                0.88789,                0.59517,                0.94808,                 1.7185,                0.69583,                 1.0762,              0.0014258,              0.0014258,              0.0014258
                     32,                0.93185,                 1.5838,                 0.6916,                 1.0711,                0.86288,                0.86443,                 0.9109,                0.68764,                0.86373,                 0.8499,                0.89933,                0.60761,                0.94638,                 1.6881,                0.66934,                 1.0671,               0.001406,               0.001406,               0.001406
                     33,                0.94246,                 1.5857,                0.70212,                 1.0779,                0.85375,                0.85957,                0.89947,                0.67216,                0.85139,                0.85177,                0.88696,                0.59251,                0.94519,                 1.7274,                0.68042,                 1.0779,              0.0013862,              0.0013862,              0.0013862
                     34,                0.92365,                 1.5679,                0.68565,                 1.0682,                 0.8649,                0.86642,                0.90562,                0.68404,                0.85869,                0.86021,                0.89625,                 0.5995,                0.93596,                 1.7062,                0.65898,                   1.08,              0.0013664,              0.0013664,              0.0013664
                     35,                0.93356,                  1.555,                0.69384,                 1.0797,                0.86954,                0.86754,                 0.9152,                0.69484,                0.87308,                0.85423,                 0.9063,                0.61798,                0.93613,                 1.7189,                0.64209,                 1.0815,              0.0013466,              0.0013466,              0.0013466
                     36,                0.89561,                  1.542,                0.66029,                 1.0588,                0.86142,                0.86572,                0.90499,                 0.6796,                0.85814,                0.85971,                0.89513,                0.60067,                0.91516,                 1.6681,                0.66037,                 1.0707,              0.0013268,              0.0013268,              0.0013268
                     37,                0.90655,                 1.5173,                0.67011,                 1.0659,                0.85539,                0.87126,                0.91584,                0.69679,                0.86449,                0.84819,                0.90599,                0.61199,                0.90983,                 1.6722,                 0.6533,                 1.0669,               0.001307,               0.001307,               0.001307
